external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
C倉-2025-08-29-3406-SELL-104,2025-08-29,martingale,C倉,TW,3406,玉晶光,SELL,179,457.5,1,0,0,減碼1%
C倉-2025-08-29-2379-SELL-105,2025-08-29,martingale,C倉,TW,2379,瑞昱,SELL,207,541,1,0,0,減碼1.14%
C倉-2025-08-29-1101-SELL-106,2025-08-29,martingale,C倉,TW,1101,台泥,SELL,5426,22.5,1,0,0,剔除3%
C倉-2025-09-02-2379-BUY-107,2025-09-02,martingale,C倉,TW,2379,瑞昱,BUY,128,548,1,0,0,加碼1%
C倉-2025-09-02-3443-BUY-108,2025-09-02,martingale,C倉,TW,3443,創意,BUY,53,1310,1,0,0,加碼1%
C倉-2025-09-03-1536-BUY-109,2025-09-03,martingale,C倉,TW,1536,和大,BUY,993,70.5,1,0,0,加碼1%
C倉-2025-09-09-2379-BUY-110,2025-09-09,martingale,C倉,TW,2379,瑞昱,BUY,129,541,1,0,0,加碼1%
C倉-2025-09-09-3443-BUY-111,2025-09-09,martingale,C倉,TW,3443,創意,BUY,51,1360,1,0,0,加碼1%
C倉-2025-09-09-3406-BUY-112,2025-09-09,martingale,C倉,TW,3406,玉晶光,BUY,157,446.5,1,0,0,加碼1%
C倉-2025-09-11-3406-SELL-113,2025-09-11,martingale,C倉,TW,3406,玉晶光,SELL,873,424,1,0,0,剔除5%
C倉-2025-09-11-1802-SELL-114,2025-09-11,martingale,C倉,TW,1802,台玻,SELL,4255,26.8,1,0,0,剔除2%
C倉-2025-09-11-1590-SELL-115,2025-09-11,martingale,C倉,TW,1590,亞德客-KY,SELL,430,777,1,0,0,剔除5.29%
C倉-2025-09-12-3293-SELL-116,2025-09-12,martingale,C倉,TW,3293,鈊象,SELL,507,829,1,0,0,剔除6%
C倉-2025-09-23-2330-SELL-117,2025-09-23,martingale,C倉,TW,2330,台積電,SELL,124,1320,1,0,0,減碼1%
C倉-2025-09-23-2379-SELL-118,2025-09-23,martingale,C倉,TW,2379,瑞昱,SELL,328,542,1,0,0,減碼2%
C倉-2025-09-23-1536-SELL-119,2025-09-23,martingale,C倉,TW,1536,和大,SELL,4502,65.5,1,0,0,剔除4%
C倉-2025-09-24-3711-SELL-120,2025-09-24,martingale,C倉,TW,3711,日月光投控,SELL,2337,171.5,1,0,0,剔除5%
C倉-2025-09-24-3443-SELL-121,2025-09-24,martingale,C倉,TW,3443,創意,SELL,273,1305,1,0,0,剔除5%
C倉-2025-09-24-2379-SELL-122,2025-09-24,martingale,C倉,TW,2379,瑞昱,SELL,656,547,1,0,0,剔除4%
C倉-2025-09-24-006208-SELL-123,2025-09-24,martingale,C倉,TW,006208,富邦台50,SELL,1455,135.7,1,0,0,減碼2%
C倉-2025-09-26-2308-SELL-124,2025-09-26,martingale,C倉,TW,2308,台達電,SELL,227,841,1,0,0,減碼1%
C倉-2025-10-14-2317-SELL-125,2025-10-14,martingale,C倉,TW,2317,鴻海,SELL,434,206,1,0,0,剔除1%
C倉-2025-10-16-2330-SELL-126,2025-10-16,martingale,C倉,TW,2330,台積電,SELL,124,1465,1,0,0,減碼1%
C倉-2025-10-16-2308-SELL-127,2025-10-16,martingale,C倉,TW,2308,台達電,SELL,227,1010,1,0,0,減碼1%
C倉-2025-10-16-006208-SELL-128,2025-10-16,martingale,C倉,TW,006208,富邦台50,SELL,728,145.25,1,0,0,減碼1%
C倉-2025-10-29-006208-SELL-129,2025-10-29,martingale,C倉,TW,006208,富邦台50,SELL,728,150.05,1,0,0,減碼1%
C倉-2025-10-29-2884-SELL-130,2025-10-29,martingale,C倉,TW,2884,玉山金,SELL,2618,30.05,1,0,0,減碼1%
C倉-2025-10-29-2308-SELL-131,2025-10-29,martingale,C倉,TW,2308,台達電,SELL,227,1070,1,0,0,減碼1%
C倉-2025-10-29-2330-SELL-132,2025-10-29,martingale,C倉,TW,2330,台積電,SELL,124,1500,1,0,0,減碼1%
C倉-2025-10-29-2454-SELL-133,2025-10-29,martingale,C倉,TW,2454,聯發科,SELL,164,1315,1,0,0,減碼2%
C倉-2025-10-29-006208-SELL-134,2025-10-29,martingale,C倉,TW,006208,富邦台50,SELL,728,151.15,1,0,0,減碼1%
C倉-2025-10-31-2884-SELL-135,2025-10-31,martingale,C倉,TW,2884,玉山金,SELL,2618,29.75,1,0,0,減碼1%
C倉-2025-10-31-2308-SELL-136,2025-10-31,martingale,C倉,TW,2308,台達電,SELL,227,997,1,0,0,減碼1%
C倉-2026-01-23-2454-SELL-137,2026-01-23,martingale,C倉,TW,2454,聯發科,SELL,82,1630,1,0,0,減碼1%
C倉-2026-01-23-006208-SELL-138,2026-01-23,martingale,C倉,TW,006208,富邦台50,SELL,728,167.15,1,0,0,減碼1%
C倉-2026-01-23-2884-SELL-139,2026-01-23,martingale,C倉,TW,2884,玉山金,SELL,2618,33.05,1,0,0,減碼1%
C倉-2026-02-01-1101-SELL-140,2026-02-01,martingale,C倉,TW,1101,台泥,SELL,9,38.7000,1,0,0,校正平倉
C倉-2026-02-01-1536-SELL-141,2026-02-01,martingale,C倉,TW,1536,和大,SELL,1,62.1934,1,0,0,校正平倉
C倉-2026-02-01-2308-SELL-142,2026-02-01,martingale,C倉,TW,2308,台達電,SELL,229,308.2352,1,0,0,校正平倉
C倉-2026-02-01-2308-BUY-143,2026-02-01,martingale,C倉,TW,2308,台達電,BUY,222,308.0000,1,0,0,校正建倉1%
C倉-2026-02-01-2330-SELL-144,2026-02-01,martingale,C倉,TW,2330,台積電,SELL,19,564.1093,1,0,0,校正平倉
C倉-2026-02-01-2330-BUY-145,2026-02-01,martingale,C倉,TW,2330,台積電,BUY,86,799.0000,1,0,0,校正建倉1%
C倉-2026-02-01-2379-SELL-146,2026-02-01,martingale,C倉,TW,2379,瑞昱,SELL,1,426.5163,1,0,0,校正平倉
C倉-2026-02-01-2454-SELL-147,2026-02-01,martingale,C倉,TW,2454,聯發科,SELL,89,851.8030,1,0,0,校正平倉
C倉-2026-02-01-2454-BUY-148,2026-02-01,martingale,C倉,TW,2454,聯發科,BUY,57,1290.0000,1,0,0,校正建倉1.07%
C倉-2026-02-01-2884-SELL-149,2026-02-01,martingale,C倉,TW,2884,玉山金,SELL,5249,26.7349,1,0,0,校正平倉
C倉-2026-02-01-2884-BUY-150,2026-02-01,martingale,C倉,TW,2884,玉山金,BUY,5472,24.4800,1,0,0,校正建倉2%
C倉-2026-02-01-3406-SELL-151,2026-02-01,martingale,C倉,TW,3406,玉晶光,SELL,2,400.7599,1,0,0,校正平倉
C倉-2026-02-01-3711-SELL-152,2026-02-01,martingale,C倉,TW,3711,日月光投控,SELL,2,149.7356,1,0,0,校正平倉
C倉-2026-02-01-006208-SELL-153,2026-02-01,martingale,C倉,TW,006208,富邦台50,SELL,2493,96.2182,1,0,0,校正平倉
C倉-2026-02-01-006208-BUY-154,2026-02-01,martingale,C倉,TW,006208,富邦台50,BUY,3089,86.2100,1,0,0,校正建倉4%
