external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-BUY-3587-2022-03-14-17-2,2022-03-14,martingale,黃標,TW,3587,閎康,BUY,577,144.00,12.48
Y-SELL-4919-2022-03-28-18,2022-03-28,martingale,黃標,TW,4919,新唐,SELL,1680,190.00,0.00
Y-SELL-3587-2022-04-18-20,2022-04-18,martingale,黃標,TW,3587,閎康,SELL,1731,142.50,0.00
Y-BUY-2359-2022-12-07-21-0,2022-12-07,martingale,黃標,TW,2359,所羅門,BUY,2998,27.75,4.16
Y-BUY-4168-2022-12-07-22-0,2022-12-07,martingale,黃標,TW,4168,醣聯,BUY,2513,33.10,4.16
Y-BUY-4168-2022-12-20-23-0,2022-12-20,martingale,黃標,TW,4168,醣聯,BUY,2637,31.55,8.32
Y-BUY-2359-2023-01-31-24-0,2023-01-31,martingale,黃標,TW,2359,所羅門,BUY,3104,26.80,8.32
Y-SELL-2359-2023-03-10-25,2023-03-10,martingale,黃標,TW,2359,所羅門,SELL,2998,33.65,4.16
Y-SELL-2359-2023-03-16-26,2023-03-16,martingale,黃標,TW,2359,所羅門,SELL,3104,31.30,0.00
Y-SELL-4168-2023-03-16-27,2023-03-16,martingale,黃標,TW,4168,醣聯,SELL,2513,29.60,4.16
Y-BUY-5351-2023-03-20-28-0,2023-03-20,martingale,黃標,TW,5351,鈺創,BUY,1919,43.35,4.16
Y-BUY-2359-2023-03-23-29-0,2023-03-23,martingale,黃標,TW,2359,所羅門,BUY,2552,32.60,4.16
Y-BUY-5351-2023-04-10-30-0,2023-04-10,martingale,黃標,TW,5351,鈺創,BUY,1751,47.50,8.32
Y-BUY-4168-2023-04-10-31-0,2023-04-10,martingale,黃標,TW,4168,醣聯,BUY,2662,31.25,8.32
Y-BUY-4168-2023-04-26-32-0,2023-04-26,martingale,黃標,TW,4168,醣聯,BUY,2637,31.55,12.48
Y-BUY-4919-2023-07-12-33-0,2023-07-12,martingale,黃標,TW,4919,新唐,BUY,623,133.50,4.16
Y-DIV-2359-2023-07-27-34,2023-07-27,martingale,黃標,TW,2359,所羅門,DIVIDEND,2552,1.50,
Y-DIV-4919-2023-07-31-35,2023-07-31,martingale,黃標,TW,4919,新唐,DIVIDEND,623,7.00,
Y-BUY-4919-2023-07-31-36-0,2023-07-31,martingale,黃標,TW,4919,新唐,BUY,600,138.50,8.32
Y-BUY-2359-2023-08-14-37-0,2023-08-14,martingale,黃標,TW,2359,所羅門,BUY,2218,37.50,8.32
Y-BUY-5351-2023-08-17-38-0,2023-08-17,martingale,黃標,TW,5351,鈺創,BUY,2127,39.10,12.48
Y-BUY-3081-2023-09-11-39-0,2023-09-11,martingale,黃標,TW,3081,聯亞,BUY,723,115.00,4.16
Y-SELL-5351-2023-11-23-40,2023-11-23,martingale,黃標,TW,5351,鈺創,SELL,1919,55.20,8.32
Y-BUY-1708-2023-12-06-41-0,2023-12-06,martingale,黃標,TW,1708,東鹼,BUY,2476,33.60,4.16
Y-BUY-3029-2023-12-06-42-0,2023-12-06,martingale,黃標,TW,3029,零壹,BUY,1256,66.20,4.16
Y-BUY-6125-2023-12-06-43-0,2023-12-06,martingale,黃標,TW,6125,廣運,BUY,1302,63.90,4.16
Y-BUY-3081-2023-12-13-44-0,2023-12-13,martingale,黃標,TW,3081,聯亞,BUY,752,110.50,8.32
Y-BUY-4919-2024-01-05-45-0,2024-01-05,martingale,黃標,TW,4919,新唐,BUY,587,141.50,12.48
Y-BUY-3029-2024-01-05-46-0,2024-01-05,martingale,黃標,TW,3029,零壹,BUY,1274,65.30,8.32
Y-BUY-6125-2024-01-05-47-0,2024-01-05,martingale,黃標,TW,6125,廣運,BUY,1377,60.40,8.32
Y-BUY-8028-2024-01-30-48-0,2024-01-30,martingale,黃標,TW,8028,昇陽半導體,BUY,1625,51.20,4.16
Y-SELL-5351-2024-01-30-49,2024-01-30,martingale,黃標,TW,5351,鈺創,SELL,1751,51.40,4.16
Y-SELL-3081-2024-02-23-50,2024-02-23,martingale,黃標,TW,3081,聯亞,SELL,723,154.50,4.16
Y-BUY-4540-2024-03-04-51-0,2024-03-04,martingale,黃標,TW,4540,全球傳動,BUY,2390,34.80,4.16
Y-SELL-1708-2024-03-07-52,2024-03-07,martingale,黃標,TW,1708,東鹼,SELL,2476,30.45,0.00
Y-SELL-5351-2024-03-07-53,2024-03-07,martingale,黃標,TW,5351,鈺創,SELL,2127,50.10,0.00
Y-SELL-6125-2024-03-07-54,2024-03-07,martingale,黃標,TW,6125,廣運,SELL,1302,89.40,4.16
Y-SELL-4168-2024-03-07-55,2024-03-07,martingale,黃標,TW,4168,醣聯,SELL,5299,25.35,4.16
Y-BUY-4540-2024-03-08-56-0,2024-03-08,martingale,黃標,TW,4540,全球傳動,BUY,2494,33.35,8.32
Y-BUY-8028-2024-03-08-57-0,2024-03-08,martingale,黃標,TW,8028,昇陽半導體,BUY,1615,51.50,8.32
Y-BUY-6146-2024-03-08-58-0,2024-03-08,martingale,黃標,TW,6146,耕興,BUY,352,236.00,4.16
Y-SELL-4919-2024-03-08-59,2024-03-08,martingale,黃標,TW,4919,新唐,SELL,1810,123.50,0.00
Y-BUY-3260-2024-03-13-60-0,2024-03-13,martingale,黃標,TW,3260,威剛,BUY,847,98.20,4.16
Y-BUY-3260-2024-03-19-61-0,2024-03-19,martingale,黃標,TW,3260,威剛,BUY,860,96.70,8.32
Y-DIV-3029-2024-03-21-62,2024-03-21,martingale,黃標,TW,3029,零壹,DIVIDEND,2530,4.00,
Y-DIV-6125-2024-03-29-63,2024-03-29,martingale,黃標,TW,6125,廣運,DIVIDEND,1377,1.70,
Y-BUY-6146-2024-04-11-64-0,2024-04-11,martingale,黃標,TW,6146,耕興,BUY,337,246.50,8.32
Y-BUY-4168-2024-04-11-65-0,2024-04-11,martingale,黃標,TW,4168,醣聯,BUY,3053,27.25,8.32
Y-SELL-2359-2024-04-12-66,2024-04-12,martingale,黃標,TW,2359,所羅門,SELL,2552,112.50,4.16
Y-SELL-3081-2024-04-15-67,2024-04-15,martingale,黃標,TW,3081,聯亞,SELL,752,135.00,0.00
Y-SELL-6125-2024-04-15-68,2024-04-15,martingale,黃標,TW,6125,廣運,SELL,1377,78.70,0.00
Y-BUY-3029-2024-05-02-69-0,2024-05-02,martingale,黃標,TW,3029,零壹,BUY,1100,75.60,12.48
Y-BUY-8028-2024-05-02-70-0,2024-05-02,martingale,黃標,TW,8028,昇陽半導體,BUY,1521,54.70,12.48
Y-SELL-8028-2024-05-23-71,2024-05-23,martingale,黃標,TW,8028,昇陽半導體,SELL,1625,61.90,8.32
