日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2025-03-11,2359,所羅門,,,剔除 0.5,143.00,+466.39%
2025-03-11,4540,全球傳動,,,剔除 0.5,49.50,+44.95%
2025-03-12,4555,氣立,加碼 1/3,42.35,,,
2025-03-12,5388,中磊,新增 1/3,130.00,,,
2025-03-20,3029,零壹,現金股利$5.00,,,
2025-03-25,4555,氣立,加碼 1/3,42.65,,,
2025-03-25,5388,中磊,加碼 1/3,132.50,,,
2025-03-27,5388,中磊,現金股利$4.60,,,
2025-04-08,3029,零壹,加碼 1/3,104.50,,,
2025-04-09,5388,中磊,加碼 1/3,85.10,,,
2025-04-09,8936,國統,加碼 1/3,48.30,,,
2025-04-10,4168,醣聯 (2),加碼 1/3,17.00,,,
2025-04-17,2359,所羅門,加碼 1/3,118.50,,,
2025-05-27,2359,所羅門,,,減碼 1/3,141.00,+0.13%
2025-05-27,8936,國統,,,減碼 1/3,57.30,-0.58%
2025-05-27,5388,中磊,,,減碼 1/3,98.10,-23.75%
2025-06-04,3059,華晶科,新增 1/3,39.95,,,
2025-06-04,2359,所羅門,加碼 1/3,142.00,,,
2025-06-04,4168,醣聯 (2),加碼 1/3,27.75,,,
2025-06-10,3059,華晶科,加碼 1/3,40.10,,,
2025-06-10,8936,國統,加碼 1/3,55.80,,,
2025-06-27,4555,氣立,現金股利$0.50,,,
2025-07-10,2359,所羅門,現金股利$0.75,,,
2025-07-15,2359,所羅門,加碼 1/3,132.00,,,
2025-07-24,5388,中磊,加碼 1/3,96.40,,,
2025-07-24,3059,華晶科,加碼 1/3,39.90,,,
2025-08-05,3059,華晶科,,,減碼 1/3,45.35,+12.43%
2025-08-20,4555,氣立,,,減碼 1/3,48.00,+11.89%
2025-08-20,2359,所羅門,,,減碼 1/3,146.00,+2.76%
2025-08-20,8936,國統,,,減碼 1/3,56.40,-1.80%
2025-08-21,3059,華晶科,,,減碼 1/3,50.90,+26.66%
2025-09-01,5388,中磊,,,減碼 1/3,103.50,-17.95%
2025-09-01,3029,零壹,,,減碼 1/3,121.50,+15.59%
2025-09-03,8936,國統,,,剔除 2/3,53.90,+2.95%
2025-09-04,3059,華晶科,現金股利$1.00,,,
2025-09-09,3059,華晶科,,,減碼 0.5,61.10,+52.24%
2025-09-24,3059,華晶科,,,剔除 0.5,53.50,+36.73%
2025-09-24,4168,醣聯 (2),加碼 1/3,25.15,,,
2025-10-14,2359,所羅門,,,減碼 1/3,131.00,-1.34%
2025-10-14,3029,零壹,,,減碼 1/3,113.00,+96.40%
2025-10-14,5388,中磊,,,剔除 2/3,96.70,+5.93%
2025-10-28,2359,所羅門,,,剔除 1/3,133.50,+12.71%
2025-10-28,3029,零壹,,,剔除 1/3,113.00,+99.54%
2025-10-29,4555,氣立,,,剔除 2/3,44.10,+10.99%
