日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格
2026-01-05,2317,鴻海,進場10%,234.50,,
2026-01-07,2408,南亞科,,,減碼1%,240.00
2026-01-07,2308,台達電,,,減碼3%,1040.00
2026-01-07,2603,長榮,,,減碼1%,196.00
2026-01-07,2317,鴻海,,,減碼5%,240.00
2026-01-07,4720,德淵,進場6%,18.45,,
2026-01-08,1785,光洋科,,,剔除4%,63.10
2026-01-08,8996,高力,,,減碼3%,596.00
2026-01-08,6488,環球晶,進場6%,456.50,,
2026-01-08,6173,信昌電,,,剔除3%,64.30
2026-01-09,2408,南亞科,,,剔除1%,217.50
2026-01-09,8996,高力,,,減碼1%,630.00
2026-01-09,2637,慧洋-KY,,,減碼3%,71.40
2026-01-12,3535,晶彩科,,,減碼2%,89.70
2026-01-13,6488,環球晶,,,減碼3%,483.50
2026-01-13,2603,長榮,,,剔除2%,197.00
2026-01-13,8996,高力,,,減碼1%,758.00
2026-01-13,2317,鴻海,,,剔除5%,227.00
2026-01-13,2308,台達電,,,剔除3%,1035.00
2026-01-16,8996,高力,,,剔除1%,680.00
2026-01-16,4720,德淵,加碼4%,17.65,,
2026-01-22,2324,仁寶,進場3%,32.85,,
2026-01-22,2327,國巨*,進場3%,282.50,,
2026-01-23,1513,中興電,進場6%,183.00,,
2026-01-23,2637,慧洋-KY,,,剔除3%,70.80
2026-01-23,4720,德淵,,,減碼5%,16.85
2026-02-02,4720,德淵,,,剔除5%,16.00
2026-02-02,1513,中興電,,,剔除6%,164.00
2026-02-02,6488,環球晶,,,剔除3%,487.00
2026-02-02,2327,國巨*,,,剔除3%,260.50
2026-02-04,6291,沛亨,進場5%,229.00,,
2026-02-06,2324,仁寶,,,剔除3%,30.35
2026-02-06,6291,沛亨,,,剔除5%,212.00
2026-02-23,2313,華通,進場3%,194.50,,
2026-02-23,2337,旺宏,進場3%,106.00,,
2026-02-23,3037,欣興,進場3%,387.00,,
2026-02-23,3481,群創,進場5%,23.50,,
2026-02-24,3037,欣興,,,減碼1%,415.50
2026-02-24,2313,華通,,,減碼1%,207.00
2026-02-24,6789,采鈺,,,減碼2%,300.00
2026-02-24,2337,旺宏,,,減碼1%,109.50
2026-02-24,3481,群創,加碼3%,23.20,,
2026-02-24,6443,元晶,進場5%,41.35,,
2026-02-25,5309,系統電,進場5%,68.60,,
2026-02-25,6282,康舒,進場5%,52.60,,
2026-02-25,3450,聯鈞,進場5%,289.50,,
2026-02-25,3481,群創,,,減碼2%,26.85
2026-02-25,2313,華通,,,剔除2%,206.50
2026-02-25,8358,金居,進場5%,289.00,,
